CustomerID,FirstName,LastName,Email,AddressLine1,AddressLine2,City,State,Zip,FavoriteColor,FavoriteQuote,VehicleVIN,VehicleMake,VehicleModel,VehicleYear,VehicleColor,CurrentMonthlyPremiumCents
"95232432720","Cheryl","Robinson","eligendi_quis@Flashspan.org","6721 Namekagon Parkway","","San Dimas","NC","3568940","Blue","totam voluptatem commodi corrupti ut!","AKY89JN174P4N092X","Volvo","XC90","2014","Red","14528"
"69242698901","Evelyn","Hall","CynthiaJenkins@Zoovu.org","4496 Hazelcrest Way","","Santa Cruz","LA","2473786","Teal","ab et repudiandae quis maxime.","1TW8MZXWR58VW31XK","Lincoln","Navigator","2011","Violet","34107"
"40158208292","Anna","Andrews","eum_tempore_et@Fliptune.mil","6204 Mcbride Park","","Merced","TN","5943182","Goldenrod","tempora consequatur iste incidunt et dolorum.","CUA2W4RHAUVZ6PYHS","Nissan","Versa","2005","Pink","26559"
"85391718543","Richard","Welch","jPayne@Yombu.net","1005 Helena Crossing","","Signal Hill","FL","0450132","Blue","accusamus veritatis sit voluptates!","7NRVJP77TR8NG8WXU","Audi","Q7","2021","Orange","20619"
"74356932704","Andrea","Morrison","sWheeler@Twitterbridge.org","5102 Fordem Parkway","","Blythe","AZ","0258568","Khaki","rerum qui sint ad fuga.","7RGZP7EPN9ZB689X3","Mercedes-Benz","GLE","2015","Red","10699"
"32815700745","Gloria","Bailey","eaque_quia@Aimbo.biz","3245 West Circle","","Dana Point","UT","7820999","Teal","soluta eum fugiat rerum quaerat autem est.","SHPK25JZXTDBNDPN6","Hyundai","Sonata","2021","Indigo","26428"
"34551736686","Ryan","Reynolds","tRoss@Dabtype.net","2191 Service Terrace","","Lynwood","AL","1359113","Purple","ad provident aliquam quas.","08LF1S2978EW2WBNT","BMW","2 Series","1994","Crimson","25974"
"79567120527","Julia","Tucker","quae@Oyoloo.com","722 Kennedy Lane","","Grand Terrace","CO","1721756","Yellow","ea officiis possimus iure voluptas perspiciatis magnam repellendus.","UAVMXCD5SY8H671SV","Tesla","Model X","1996","Crimson","14866"
"71616491888","Donald","Garrett","JoycePerry@Avamba.mil","393 Bartelt Pass","","Trinidad","KY","3106454","Puce","voluptatem fuga facere quo at.","9AJDK1BWDCSZBVTBL","Mazda","Mazda6","1998","Violet","25119"
"57161841709","Samuel","Butler","CraigMills@Twiyo.edu","7765 Grover Pass","","Cypress","AR","8248604","Yellow","dolorum possimus nulla est dolores quidem consequatur ut excepturi.","3RMFXJ3S29K76304T","Chevrolet","Impala","2008","Violet","22600"
"345746857210","Diane","Peters","tFowler@Zoomcast.info","7941 Chinook Pass","","Lincoln","HI","6402788","Puce","cumque aut aut sit.","8DXDCAZHHGXYWA6KJ","Cadillac","ATS","1996","Puce","35563"
"489566725611","Brenda","Perez","9Larson@Wikivu.gov","8880 Stang Junction","","Atherton","NM","9508509","Goldenrod","adipisci consequatur deleniti sit sint ut.","U1DDDARHNP0D1RMVJ","Mazda","CX-5","2011","Aquamarine","29335"
"073644016012","Donna","Carter","ea@Skyba.gov","8932 Melrose Terrace","","Irwindale","OK","5568478","Aquamarine","atque aliquid sed cum quia ratione vel dolorem voluptates iusto.","EJKUPSL9ZUXHPDH70","Volkswagen","Golf","2000","Indigo","27242"
"680767069913","Diana","Olson","BrucePhillips@Dabvine.net","5855 Cottonwood Street","","Adelanto","TX","4547137","Yellow","placeat quia veritatis id atque doloremque.","XK4T9PGCBT0UMHLML","BMW","4 Series","2006","Blue","29510"
"394723848014","Bonnie","Wallace","5Ferguson@Dazzlesphere.info","2207 Milwaukee Center","","Auburn","WA","7894265","Mauv","unde asperiores consequatur facere repellat voluptatibus deleniti dolorem a incidunt nisi exercitationem.","H6XC30GJ4KT5SVN0W","Ford","Focus","2002","Puce","16369"
"722457053315","Julia","Ortiz","bWhite@Browsedrive.info","6348 Artisan Plaza","","Belvedere","ID","7899597","Crimson","officiis dolore minus qui sapiente sunt voluptas voluptatibus reprehenderit.","09XL6KACE9S8V1LM0","Audi","Q5","2015","Goldenrod","28974"
"875974126316","Daniel","Fowler","6Hill@Rhynoodle.net","1383 Glendale Street","","Dixon","MD","2577131","Teal","optio enim provident et non nemo accusantium necessitatibus.","TTYL4M83RKNYH18NX","Chevrolet","Colorado","1999","Maroon","23495"
"410363027317","Donald","Knight","dolores_rerum@Zava.biz","6443 Mcbride Court","","Palm Springs","SD","9999316","Orange","accusamus aliquam omnis earum placeat sit!","1M4249C9PX82MS15H","Ford","Expedition","2019","Turquoise","24711"
"242217383118","Peter","Richards","7Henry@Zoomdog.gov","6698 Russell Parkway","","Bell","WV","1431354","Yellow","sequi autem reiciendis adipisci quod quae adipisci iure.","3Y47C7TTPJN0P0DC8","BMW","6 Series","2000","Maroon","12591"
"048873323719","Mary","Montgomery","delectus_dicta_cupiditate@Einti.net","577 Sachs Lane","","Laguna Woods","ID","2329264","Khaki","rem est consequatur ex quaerat aut porro tempora!","5RWJ9ALF0RTJWCY1M","Cadillac","ATS","1994","Green","23249"
"584384928520","Jean","Warren","RobertReyes@Babbleopia.org","9156 Doe Crossing Plaza","","Hollister","LA","5219418","Maroon","ut aut in at sapiente nulla.","ZFBYULJ9DSLLRP9E8","Tesla","Model X","2009","Maroon","13205"
"112252918121","Margaret","Henry","JoanHarrison@Fliptune.mil","4595 Mcbride Place","","Woodland","AR","8394236","Green","architecto voluptatibus magnam nemo et dolor quis officiis aliquid.","F6MSZXGFUVFKPEVEG","Audi","A8","2005","Khaki","8130"
"331793287922","Eugene","Edwards","ChrisRichards@Tanoodle.net","2230 Westerfield Center","","Ojai","WA","5519133","Yellow","ut eum nihil porro et omnis.","68Y9LRSS14VF01WWR","Mazda","CX-5","2007","Purple","31889"
"550811584623","Lori","Price","nHamilton@Dynabox.gov","9788 Hudson Court","","Lodi","WY","0693016","Indigo","sed hic ipsum placeat dignissimos dolor assumenda!","5VEG0L08SBVDSGZRY","Tesla","Roadster","2004","Green","13918"
"410028957024","Ronald","Lynch","voluptas@Avaveo.biz","2823 Sunbrook Lane","","Costa Mesa","ND","5501547","Orange","eum voluptate reiciendis eos sunt.","ZW4LBUWJS94W23UES","Hyundai","Elantra","2020","Orange","27659"
"373385491625","Ashley","Simmons","fMatthews@Realbridge.net","8191 Dorton Hill","","Adelanto","MA","1775307","Yellow","est doloribus qui error.","TTLNGKDEYDVX61EVZ","Lincoln","MKT","1999","Yellow","8869"
"277904955126","Debra","Jacobs","EmilyWillis@Skipstorm.edu","3277 West Lane","","Covina","AR","4426828","Maroon","pariatur consequatur explicabo nisi architecto!","1MLPEJF9H3C35ENC9","Mercedes-Benz","GLS","2003","Orange","35053"
"885754937327","Randy","Long","MarkGriffin@Riffpath.mil","2077 Graedel Avenue","","National City","WY","9792070","Purple","fuga nihil facere libero aut maxime ut ut sint quia.","1762CMFNP7A64BYL6","GMC","Canyon","2005","Goldenrod","28865"
"259647700628","Janet","Richardson","pBailey@Divape.mil","939 Lien Terrace","","Portola Valley","AK","6497363","Purple","quis quod voluptatum minima.","YXL8WCPXC612N8W9K","Volvo","V60","1999","Crimson","25594"
"146036885429","Frances","Shaw","KathleenHowell@Devpulse.edu","1637 Monterey Lane","","Placerville","MS","2760223","Aquamarine","quae labore voluptas provident.","S276SPE8DMCZS24NT","Buick","Regal","2017","Teal","18722"
"573538958930","Joshua","Fields","commodi_vero@Layo.org","5458 Debra Parkway","","Fortuna","IN","5166485","Turquoise","doloribus culpa quis sapiente quaerat inventore!","YWTZ044FYT26MNKKK","Volkswagen","Jetta","1997","Aquamarine","16348"
"379204363831","Ruby","Watkins","8Taylor@Omba.com","9636 Fallview Plaza","","Auburn","NV","1038006","Aquamarine","suscipit ut rerum pariatur sed laborum fugiat nihil porro cupiditate aperiam est.","E0Z93R3JHJVPMH45N","Hyundai","Tucson","2007","Indigo","22451"
"078922018432","Todd","Murray","RandyDaniels@Eidel.com","1990 Laurel Parkway","","Bishop","UT","8518823","Indigo","et voluptatem ipsa inventore.","XLD7FFC56EAST9SN3","Volvo","XC40","2009","Mauv","34069"
"220155071033","Beverly","Morrison","JosephHenderson@Gigashots.gov","91 Florence Road","","Manteca","IL","3423596","Yellow","molestiae illum sint asperiores in possimus ab!","FC03985GB4SU1JCJ6","Ram","3500","2004","Teal","33533"
"464108823034","Alice","Alvarez","6Moore@Centidel.gov","6467 Upham Park","","Escondido","PA","0193251","Red","illo architecto enim expedita dolores dolor officia explicabo dolorum magnam.","4SPWHVD6762XB11P7","Chevrolet","Colorado","2012","Red","28002"
"920853643535","Nancy","Shaw","qFowler@Babbleopia.com","868 Susan Hill","","Highland","KY","1701092","Indigo","id culpa commodi esse aspernatur deserunt voluptas.","RPX0M1Y0G1V9BNNKE","GMC","Acadia","2017","Teal","32530"
